text,airline_sentiment
"@USAirways BF has been stuck in CLT all day. Is the lounge offering free ""This weather sucks &amp; we all want to cry"" tequila shots?",0
@united DM sent.  This lack if customer service is getting ridiculous.,0
@JetBlue thank you for the information.,1
@AmericanAir I DMed you my AA &amp; phone #s &amp; you can't have someone call me? What was the point of your response? You didn't resolve anything!,0
@united @44Stocker my wife Sarah stocker did also called but could not connect me to customer service,0
@AmericanAir You can't even get someone on the phone. Great story for the media.,0
@united is probably the least satisfactory airline I've ever been on. Never fails to disappoint.,0
@USAirways @nburnside26 Well if you really didn't like them then she would be on an airplane. #FIOUSAirways 💁,0
"@USAirways flight today showing on time online, not able to check in. Called &amp; told was Cancelled Flightled, put on hold over an hr ago. Help?",0
"@SouthwestAir have a flight from Oakland to SNA at 7:30, and I asked if I can take 5:30, even there are 5 empty sests. Answer is ""No"". :(",0
"@AmericanAir said that AA does not provide in-flight wifi on the routes to China based on some federal laws, but United does, why is that?",0
"@united Yes, they did. Must have fixed the broken ramp. Thanks!",1
"@americanair hi, you Cancelled Flightled our flight back to the US and now won't take our call. What are we supposed to do?",0
"@united at its worse. Can't figure how to pack plane, screws up connectns then claims no hotl rooms in San Fran for stranded pax. Way to go!",0
@united recent services have been very bad. My NC trip was aweful. Very disappointed and never again.,0
@AmericanAir an hour at baggage carousel and still no luggage?? Nail in the coffin.,0
"@USAirways I was... 4 tomorrow. I missed my meeting today, &amp; it was pointless 2 pay hotel today when the purpose of my trip has been screwed",0
@JetBlue my family and I are excited to see you too😊😊,1
"@JetBlue thanks for getting me to Boston early for @TuftsEnergyConf ""Breaking Barriers To a Clean Energy Future""",1
@NinaDavuluri We think it's a treat to have you onboard! Enjoy your flight. 💙,1
"@united of the airplane otherwise they would call the Police, because the flight had to take off before 12h30am",0
@AmericanAir I know.  After an hour I got a live person.  It messes up our arrival and car plans at two airports and is costing us more.,0
@SouthwestAir Flight 3336 - why do multiple tracking sites have more up to date info than SWA's app and website?,0
Thank you “@united: @TRUU_Tall I can certainly take a look. Please follow and DM me your confirmation number for assistance. ^JH”,1
@united Lost bag process is broken. Agent promised they'd call &amp; hold my bag when found. Now they're waking me at 3am w/ delivery. #fail,0
@USAirways is the 7th circle of hell right after the dmv. #noshadetothedmv,0
@SouthwestAir when will you be accepting reservations past August 7?,0
@united Our flight was originally supposed to leave at 1:40pm &amp; now we won't leave until 5. This is the 2nd time this has happened,0
"@USAirways Gate traffic #DCA, MY flight arrived 20 early,connecting flight 2139 leaving in 23 minutes. Several of us stuck. HOLD THAT PLANE.",0
"@united flt 912. Capt Herman is amazing! Came out before flight to play ""ask the captain anything."" Wonderful ambassador to the airline!!",1
"@JetBlue flight delayed at JFK 2 hours, then 3 hours, then 8.5 hours? Now it's back to 5 hours with no explanation or apology?",0
@united called back and I've been on hold. What is the issue?! I have a confirmation number and an email that shows how much I've paid,0
"@JetBlue if u want to be helpful save me the trip from Westchester Cty to JFK, plus parking - my info is in the photo http://t.co/JI7xkS2jkk",0
"@JetBlue it seems I never received an ID, just a password.",0
@united quick (serious) question - any resources/ratings showing the quality of service is better than 8th place? http://t.co/deWIthPeW2,0
@JetBlue lots of people scratching heads and looking at screens ignoring passengers,0
@united thanks for the effort. I can get the earliest. Though I will make a complaint for a refund as I am losing one business day tomorrow,1
@USAirways you can send my luggage to my house👋,0
"@JetBlue 2nd time in a row a flight out of jfk a disaster. Last time I wasn't allowed to fly stndby, now a 2 hour delay w/out notification",0
@United and here i thought American was bad. Horrible Service. Over 2:30 min Late Flight. No excuse!,0
@united what time? Who can I call. I need my skis. I will go to the airport and get them. No more faith in United.,0
@AmericanAir  Mad love http://t.co/4ojrSDWPkK NYC-,1
@JetBlue figured but delay is listed at almost 2 hrs. Thanks for being great! Cheers,0
@AmericanAir is profiting in the billions and throwing crap at the people who put them there. American is a hurting brand,0
@AmericanAir I spent $600 on my flight. Could have gone on @united for $382 but their mileage program sucks.,0
@United my flight from MCO has been delayed &amp; scheduled to arrive after my connection departs. What options do I have?,0
"@JetBlue Another awesome telephone experience with @JetBlue Thank you, Cory! #Greatcustomerservice✈☺",1
@united $7 for wifi just so I can tell my family I'm gonna be Late Flight cause i had to sit in a grounded plane for the past two hours...,0
@USAirways YOU ARE THE BEST AIRWAYS!!! FOLLOW ME PLEASE;)🙏🙏🙏✌️✌️✌️🙏🙏🙏,1
@united thankful for great service in Newark. Seats fixed and I was seated with my daughter! Fab landing in Fort Myers!,1
@USAirways something is wrong with your phone system if you call someone and don't play the recorded flight notification. Is US643 Late Flight?,0
@USAirways you keep suggesting people call 800-428-4322 but we just end up on hold for hours. You seriously don't have a better method?!,0
@united website says my flight is on time. It leaves in 15 min and nobody has boarded yet. #pathetic #needtobehonest,0
"@AmericanAir Cancelled Flighted flights, now I'm rerouted and have over 12 hrs of travel but you will bump paying customers for non revs. #custserv",0
"@USAirways - what a disaster! Flight 3739, missed passenger count by 5 since it was done manually!!  Really???",0
@united no tag number. Luggage was taken off the weigh scale and appears to have been sent off on conveyor belt without any tag...,0
@SouthwestAir- I called @united and they solved the flight Cancelled Flightlation issue in 15minutes. May be ask them how to do it? #getmorehands,0
"@USAirways &gt;250k miles on usair.  Last four flights not good. Other airlines much improved. Billing issues, seats, legroom, in air service.",0
"@JetBlue why yes, yes it does!!!!  Great trip down!! Thanks for the lift!!!!",1
@SouthwestAir Heard apology ~45 times in the &gt;60 mins I was on hold. Now flying from another airport at a different time but delayed AGAIN,0
@VirginAmerica trying to book a flight &amp; your site is down 😁,0
